Text,Source,Label,URL
"Compreendo a dor e a revolta de milhões ao verem, de repente, que são governados por um bandido ex-presidiário! Sinto o mesmo! Mas a democracia tem regras próprias e é na arena democrática que o combate tem de ser travado, não com violência!",André Ventura,0,https://www.publico.pt/2023/01/10/politica/noticia/imagem-lula-silva-algemado-partilhada-andre-ventura-verdadeira-2034525
“O SNS tem hoje cerca de 4300 médicos especialistas mais do que tinha no final de 2015”.,"Manuel Pizarro, ministro da Saúde",1,https://www.publico.pt/2022/12/09/sociedade/noticia/sns-actualmente-medicos-especialistas-final-2015-2030840
"""Não tinha de me pronunciar nem ter conhecimento dessas matérias porque a Assembleia da República é que tem a última palavra [sobre o discurso de Lula da Silva na sessão do 25 de Abril]”","Marcelo Rebelo de Sousa, Presidente da República",1,https://www.publico.pt/2023/03/03/politica/noticia/verdade-nao-marcelo-anunciar-discurso-lula-sessao-25-abril-2041026
"Vídeo de pára-quedistas russos a aterrarem em Kharkiv, na Ucrânia, é recente.
Russian military paratroopers land in Ukraine, near Kharkov.#Ukraine #Russia #RussiaUkraine #war pic.twitter.com/cNzCLZd7BN
A Rússia lançou na madrugada desta quinta-feira uma ofensiva militar em território da Ucrânia, com forças terrestres e bombardeamento de alvos em várias cidades, que as autoridades ucranianas dizem ter provocado dezenas de mortos nas primeiras horas.",twitter,0,https://www.publico.pt/2022/02/24/mundo/noticia/video-paraquedistas-russos-aterrarem-kharkiv-ucrania-recente-1996685
"“Eu creio que com excepção do Aeroporto da Madeira, não houve nenhum projecto de interesse comum de tal dimensão onde qualquer Governo da República tenha decido apoiar a região autónoma da Madeira.”",António Costa,0,https://www.publico.pt/2021/09/24/politica/noticia/estado-apoiou-madeira-ampliacao-aeroporto-1978688
"“Nós temos, em Portugal, quase um milhão de pessoas que ganha o salário mínimo nacional.”","Luís Montenegro, presidente do PSD",1,https://www.publico.pt/2022/08/19/politica/noticia/existe-quase-milhao-pessoas-receber-salario-minimo-afirmou-montenegro-2017649
Já defendo o referendo sobre a eutanásia há quase dez anos.,"Luís Montenegro, presidente do PSD",1,https://www.publico.pt/2022/12/06/politica/noticia/luis-montenegro-defende-referendo-eutanasia-ha-quase-10-anos-2030368
“Tenho uma regra de não comentar no exterior assuntos de política nacional”.,"António Costa, primeiro-ministro",1,https://www.publico.pt/2022/06/30/politica/noticia/costa-regra-nao-comentar-assuntos-nacionais-estrangeiro-2011997
"“Já tivemos um Presidente da República, Jorge Sampaio, que não deu posse a Paulo Portas na pasta dos Negócios Estrangeiros porque não poderia representar Portugal de uma forma coerente junto da UE”",,1,https://www.publico.pt/2020/12/18/politica/noticia/verdade-jorge-sampaio-recusou-dar-posse-paulo-portas-1943566
"“O Governo procedeu à assinatura de protocolos com Câmaras Municipais e organizações de proprietários e produtores florestais, visando a criação de Áreas Integradas de Gestão da Paisagem [AIGP] que previssem a implementação de operações integradas de gestão da paisagem. (...) Contudo, nada está feito, nada está implementado excepto aquilo que já estava feito pelas ZIF [zonas de intervenção florestal] e outras organizações já anteriormente existentes”.",Comunicado do PSD-Leiria,1,https://www.publico.pt/2022/06/18/sociedade/noticia/areas-integradas-gestao-paisagem-nao-executaram-nova-gestao-2010466
"“Nunca houve tantos casos na Europa, num único dia, como há agora.”","Graça Freitas, directora-geral da Saúde, 14 de Novembro de 2021",1,https://www.publico.pt/2021/11/15/sociedade/noticia/casos-covid19-europa-1985039
"Não disse, como Angela Merkel, disse ‘não há natal’. E devia ter dito.","Rui Rio, presidente do PSD",0,https://www.publico.pt/2021/02/20/politica/noticia/prova-factos-psd-nao-alertou-riscos-flexibilizar-medidas-natal-1951448
"""Os portugueses virem a ser minoria no futuro é bom, vão finalmente entender o que nós pessoas racializadas sentimos.""","Frase atribuída por um militante do Chega a Beatriz Gomes Dias, vereadora da Câmara Municipal de Lisboa pelo Bloco de Esquerda",0,https://www.publico.pt/2023/03/06/politica/noticia/beatriz-gomes-dias-bom-portugueses-virem-minoria-2041277
“Temos uma emigração à volta de 84 mil pessoas por ano.”,"Rui Rio, no frente-a-frente com o líder do PS, António Costa",1,https://www.publico.pt/2022/01/14/politica/noticia/ha-volta-84-mil-pessoas-ano-sair-pais-1991877
"“Ao longo do ano lectivo, foram colocados cerca de 27 mil horários em substituições (…) As carências de professores em 87,5% dos casos deveram-se a absentismo por baixa médica, numa média apenas ligeiramente superior à do resto da administração pública”","João Costa, ministro da Educação",0,https://www.publico.pt/2022/07/16/sociedade/noticia/carencias-professores-devemse-875-absentismo-baixa-medica-2013862
"A auditoria interna à derrapagem nas obras no antigo Hospital Militar de Belém, em Lisboa, “não está sujeita ao regime do segredo de Estado”. ","Ana Miguel dos Santos, deputada e coordenadora da bancada do PSD para a Defesa Nacional",1,https://www.publico.pt/2021/07/10/politica/noticia/relatorio-derrapagem-custos-obras-hospital-militar-belem-segredo-estado-1969809
A União Europeia financia em muito mais o esforço de guerra do país invasor do que apoia financeiramente o país invadido.,"Rui Tavares, deputado do Livre",1,https://www.publico.pt/2022/04/16/mundo/noticia/economias-ue-pagam-russia-apoio-dao-ucrania-2002603
"“Não vou reunir com ninguém, vamos seguir o nosso caminho. Fomos eleitos com um programa, os resultados é que mandam sempre nas coisas, foram os melhores de sempre no judo”","Jorge Fernandes, presidente da Federação Portuguesa de Judo (FPJ)",1,https://www.publico.pt/2022/08/12/desporto/noticia/actual-direccao-federacao-obteve-melhores-resultados-judo-2017052
Assumimos actualmente a presidência [do Conselho da União Europeia] e temos um dever de neutralidade. Nós temos o papel de ‘mediador honesto’ que tem um preço: o preço é o de que não pudemos assinar o documento hoje,,1,https://www.publico.pt/2021/06/25/politica/noticia/portugal-presidente-conselho-ue-neutralidade-1967839
Já no Verão de 2019 se colocou a possibilidade de encerramento faseado de urgências obstétricas na região de Lisboa e Vale do Tejo.,Requerimento do BE,1,https://www.publico.pt/2022/09/23/politica/noticia/encerramento-faseado-urgencias-obstetricas-lisboa-ja-pensado-2019-2021506
"“Nunca a Câmara Municipal de Setúbal celebrou ou mostrou disponibilidade para celebrar qualquer protocolo com o Alto-Comissariado para as Migrações no âmbito do acolhimento de pessoas deslocadas da Ucrânia, vítimas desta guerra”",Nota do gabinete do gabinete da ministra-adjunta e dos Assuntos Parlamentares,1,https://www.publico.pt/2022/05/14/politica/noticia/camara-setubal-mostou-disponivel-celebrar-protocolo-acm-2006086
Resultado de uma candidatura ao Mestrado Integrado em Medicina na Universidade Católica Portuguesa (UCP) foi partilhado nas redes sociais.,NONE,1,https://www.publico.pt/2022/09/27/sociedade/noticia/aluno-entrou-medicina-catolica-descendente-benemerito-universidade-2021964
,"“Temos conhecimento de que Espanha está a fechar a torneira aos rios portugueses”, Mariana Mortágua, deputada do Bloco de Esquerda",0,https://www.publico.pt/2022/10/14/azul/noticia/estado-espanhol-fechar-torneira-rios-portugueses-2024096
"“O 25 de Abril permitiu a libertação de antifascistas e democratas [em Portugal]. Na Ucrânia, acontece o contrário: há um poder que avançou no sentido da ilegalização do Partido Comunista da Ucrânia, que avançou para a ilegalização de um conjunto de partidos políticos no próprio país”","Paula Santos, líder parlamentar do PCP",0,https://www.publico.pt/2022/04/22/politica/noticia/actual-ucrania-ilegalizou-partido-comunista-2003517
"Há muitos Parlamentos por esse mundo fora que têm medidas disciplinares, a Câmara dos Comuns, por exemplo. Aí não é preciso fazer um insulto que vá para lá de dizer que alguém faltou à verdade. Basta que alguém diga que um membro do Governo ou um deputado faltou à verdade e é retirado da Câmara até ao fim dos trabalhos parlamentares do dia.","Pedro Delgado Alves, vice-presidente da bancada do PS",1,https://www.publico.pt/2023/04/28/politica/noticia/ha-parlamentos-onde-deputados-podem-mandados-sair-sala-2047665
