Text,Source,URL
"Compreendo a dor e a revolta de milhões ao verem, de repente, que são governados por um bandido ex-presidiário! Sinto o mesmo! Mas a democracia tem regras próprias e é na arena democrática que o combate tem de ser travado, não com violência!",André Ventura,https://www.publico.pt/2023/01/10/politica/noticia/imagem-lula-silva-algemado-partilhada-andre-ventura-verdadeira-2034525
"Vídeo de pára-quedistas russos a aterrarem em Kharkiv, na Ucrânia, é recente.
Russian military paratroopers land in Ukraine, near Kharkov.#Ukraine #Russia #RussiaUkraine #war pic.twitter.com/cNzCLZd7BN
A Rússia lançou na madrugada desta quinta-feira uma ofensiva militar em território da Ucrânia, com forças terrestres e bombardeamento de alvos em várias cidades, que as autoridades ucranianas dizem ter provocado dezenas de mortos nas primeiras horas.",twitter,https://www.publico.pt/2022/02/24/mundo/noticia/video-paraquedistas-russos-aterrarem-kharkiv-ucrania-recente-1996685
"“Eu creio que com excepção do Aeroporto da Madeira, não houve nenhum projecto de interesse comum de tal dimensão onde qualquer Governo da República tenha decido apoiar a região autónoma da Madeira.”",António Costa,https://www.publico.pt/2021/09/24/politica/noticia/estado-apoiou-madeira-ampliacao-aeroporto-1978688
"Não disse, como Angela Merkel, disse ‘não há natal’. E devia ter dito.","Rui Rio, presidente do PSD",https://www.publico.pt/2021/02/20/politica/noticia/prova-factos-psd-nao-alertou-riscos-flexibilizar-medidas-natal-1951448
"""Os portugueses virem a ser minoria no futuro é bom, vão finalmente entender o que nós pessoas racializadas sentimos.""","Frase atribuída por um militante do Chega a Beatriz Gomes Dias, vereadora da Câmara Municipal de Lisboa pelo Bloco de Esquerda",https://www.publico.pt/2023/03/06/politica/noticia/beatriz-gomes-dias-bom-portugueses-virem-minoria-2041277
"“Ao longo do ano lectivo, foram colocados cerca de 27 mil horários em substituições (…) As carências de professores em 87,5% dos casos deveram-se a absentismo por baixa médica, numa média apenas ligeiramente superior à do resto da administração pública”","João Costa, ministro da Educação",https://www.publico.pt/2022/07/16/sociedade/noticia/carencias-professores-devemse-875-absentismo-baixa-medica-2013862
,"“Temos conhecimento de que Espanha está a fechar a torneira aos rios portugueses”, Mariana Mortágua, deputada do Bloco de Esquerda",https://www.publico.pt/2022/10/14/azul/noticia/estado-espanhol-fechar-torneira-rios-portugueses-2024096
"“O 25 de Abril permitiu a libertação de antifascistas e democratas [em Portugal]. Na Ucrânia, acontece o contrário: há um poder que avançou no sentido da ilegalização do Partido Comunista da Ucrânia, que avançou para a ilegalização de um conjunto de partidos políticos no próprio país”","Paula Santos, líder parlamentar do PCP",https://www.publico.pt/2022/04/22/politica/noticia/actual-ucrania-ilegalizou-partido-comunista-2003517
"“Eu próprio já fui vítima de uma injustiça em 2016 por causa de uma ida de Falcon para ver um jogo da equipa portuguesa porque se achava que havia voo comercial, mas não havia. Acabei por pagar a viagem”.","Marcelo Rebelo de Sousa, Presidente da República",https://www.publico.pt/2023/06/19/politica/noticia/2016-marcelo-pagou-bolso-viagem-falcon-lyon-2053848
“O Chega defende sempre a diminuição do IRC mas o que temos dito é que só 20% das empresas é que pagam IRC.”,"André Ventura, líder do Chega",https://www.publico.pt/2022/09/30/politica/noticia/apenas-20-empresas-pagam-irc-2022291
