Text,Source,URL
“O SNS tem hoje cerca de 4300 médicos especialistas mais do que tinha no final de 2015”.,"Manuel Pizarro, ministro da Saúde",https://www.publico.pt/2022/12/09/sociedade/noticia/sns-actualmente-medicos-especialistas-final-2015-2030840
"""Não tinha de me pronunciar nem ter conhecimento dessas matérias porque a Assembleia da República é que tem a última palavra [sobre o discurso de Lula da Silva na sessão do 25 de Abril]”","Marcelo Rebelo de Sousa, Presidente da República",https://www.publico.pt/2023/03/03/politica/noticia/verdade-nao-marcelo-anunciar-discurso-lula-sessao-25-abril-2041026
"“Nós temos, em Portugal, quase um milhão de pessoas que ganha o salário mínimo nacional.”","Luís Montenegro, presidente do PSD",https://www.publico.pt/2022/08/19/politica/noticia/existe-quase-milhao-pessoas-receber-salario-minimo-afirmou-montenegro-2017649
Já defendo o referendo sobre a eutanásia há quase dez anos.,"Luís Montenegro, presidente do PSD",https://www.publico.pt/2022/12/06/politica/noticia/luis-montenegro-defende-referendo-eutanasia-ha-quase-10-anos-2030368
“Tenho uma regra de não comentar no exterior assuntos de política nacional”.,"António Costa, primeiro-ministro",https://www.publico.pt/2022/06/30/politica/noticia/costa-regra-nao-comentar-assuntos-nacionais-estrangeiro-2011997
"“Já tivemos um Presidente da República, Jorge Sampaio, que não deu posse a Paulo Portas na pasta dos Negócios Estrangeiros porque não poderia representar Portugal de uma forma coerente junto da UE”",,https://www.publico.pt/2020/12/18/politica/noticia/verdade-jorge-sampaio-recusou-dar-posse-paulo-portas-1943566
"“O Governo procedeu à assinatura de protocolos com Câmaras Municipais e organizações de proprietários e produtores florestais, visando a criação de Áreas Integradas de Gestão da Paisagem [AIGP] que previssem a implementação de operações integradas de gestão da paisagem. (...) Contudo, nada está feito, nada está implementado excepto aquilo que já estava feito pelas ZIF [zonas de intervenção florestal] e outras organizações já anteriormente existentes”.",Comunicado do PSD-Leiria,https://www.publico.pt/2022/06/18/sociedade/noticia/areas-integradas-gestao-paisagem-nao-executaram-nova-gestao-2010466
"“Nunca houve tantos casos na Europa, num único dia, como há agora.”","Graça Freitas, directora-geral da Saúde, 14 de Novembro de 2021",https://www.publico.pt/2021/11/15/sociedade/noticia/casos-covid19-europa-1985039
“Temos uma emigração à volta de 84 mil pessoas por ano.”,"Rui Rio, no frente-a-frente com o líder do PS, António Costa",https://www.publico.pt/2022/01/14/politica/noticia/ha-volta-84-mil-pessoas-ano-sair-pais-1991877
"A auditoria interna à derrapagem nas obras no antigo Hospital Militar de Belém, em Lisboa, “não está sujeita ao regime do segredo de Estado”. ","Ana Miguel dos Santos, deputada e coordenadora da bancada do PSD para a Defesa Nacional",https://www.publico.pt/2021/07/10/politica/noticia/relatorio-derrapagem-custos-obras-hospital-militar-belem-segredo-estado-1969809
A União Europeia financia em muito mais o esforço de guerra do país invasor do que apoia financeiramente o país invadido.,"Rui Tavares, deputado do Livre",https://www.publico.pt/2022/04/16/mundo/noticia/economias-ue-pagam-russia-apoio-dao-ucrania-2002603
"“Não vou reunir com ninguém, vamos seguir o nosso caminho. Fomos eleitos com um programa, os resultados é que mandam sempre nas coisas, foram os melhores de sempre no judo”","Jorge Fernandes, presidente da Federação Portuguesa de Judo (FPJ)",https://www.publico.pt/2022/08/12/desporto/noticia/actual-direccao-federacao-obteve-melhores-resultados-judo-2017052
Assumimos actualmente a presidência [do Conselho da União Europeia] e temos um dever de neutralidade. Nós temos o papel de ‘mediador honesto’ que tem um preço: o preço é o de que não pudemos assinar o documento hoje,,https://www.publico.pt/2021/06/25/politica/noticia/portugal-presidente-conselho-ue-neutralidade-1967839
Já no Verão de 2019 se colocou a possibilidade de encerramento faseado de urgências obstétricas na região de Lisboa e Vale do Tejo.,Requerimento do BE,https://www.publico.pt/2022/09/23/politica/noticia/encerramento-faseado-urgencias-obstetricas-lisboa-ja-pensado-2019-2021506
"“Nunca a Câmara Municipal de Setúbal celebrou ou mostrou disponibilidade para celebrar qualquer protocolo com o Alto-Comissariado para as Migrações no âmbito do acolhimento de pessoas deslocadas da Ucrânia, vítimas desta guerra”",Nota do gabinete do gabinete da ministra-adjunta e dos Assuntos Parlamentares,https://www.publico.pt/2022/05/14/politica/noticia/camara-setubal-mostou-disponivel-celebrar-protocolo-acm-2006086
Resultado de uma candidatura ao Mestrado Integrado em Medicina na Universidade Católica Portuguesa (UCP) foi partilhado nas redes sociais.,NONE,https://www.publico.pt/2022/09/27/sociedade/noticia/aluno-entrou-medicina-catolica-descendente-benemerito-universidade-2021964
"Há muitos Parlamentos por esse mundo fora que têm medidas disciplinares, a Câmara dos Comuns, por exemplo. Aí não é preciso fazer um insulto que vá para lá de dizer que alguém faltou à verdade. Basta que alguém diga que um membro do Governo ou um deputado faltou à verdade e é retirado da Câmara até ao fim dos trabalhos parlamentares do dia.","Pedro Delgado Alves, vice-presidente da bancada do PS",https://www.publico.pt/2023/04/28/politica/noticia/ha-parlamentos-onde-deputados-podem-mandados-sair-sala-2047665
"Até Agosto, o Estado já arrecadou mais de 6 mil milhões de euros de impostos à conta da inflação.","Nuno Melo, presidente do CDS",https://www.publico.pt/2022/11/04/politica/noticia/estado-ja-arrecadou-6-mil-milhoes-euros-impostos-conta-inflacao-2026535
"“O PSD e Rui Moreira trocaram violentíssimas acusações durante a campanha e, nos debates, bateram no peito uns contra os outros, por vezes raiando o insulto. Rui Moreira chamou a um dirigente do PSD ‘o Putin de Paranhos’ (…)”.","Tiago Barbosa Ribeiro, candidato derrotado do PS e presidente da concelhia socialista no Porto, no seu perfil de Facebook, a 13 de Outubro de 2021",https://www.publico.pt/2021/10/15/politica/noticia/rui-moreira-chamou-putin-paranhos-dirigente-psd-1981263
"“Desde que descongelámos as carreiras, mais de 90% dos professores já progrediram dois escalões. Passámos de 7 professores no topo da carreira para quase 17 mil professores no topo da carreira”.","João Costa, Ministro da Educação",https://www.publico.pt/2023/02/27/sociedade/noticia/ha-quase-17-mil-professores-topo-carreira-ministro-educacao-2040408
“Eu disse que a inflação não ficaria abaixo dos 6%.”,"Joaquim Miranda Sarmento, líder da bancada parlamentar do PSD",https://www.publico.pt/2022/10/07/politica/noticia/psd-debate-oe2022-inflacao-nao-ficaria-abaixo-6-2023141
"Todos os deputados do PSD estão adstritos, nos termos da Constituição e do regimento, a comissões parlamentares","Joaquim Miranda Sarmento, líder parlamentar do PSD",https://www.publico.pt/2023/06/23/politica/noticia/deputados-psd-pertencem-comissoes-parlamentares-2054443
